subjid,alpha1,alpha2,beta,tau
101,0.590216642,0.104626319,0.624813102,5.322760291
102,0.013947272,0.109393208,0.7475721,3.21000476
103,0.010621303,0.729409477,0.955371996,3.659925134
104,0.006037454,9.695429909,0.449098242,5.907331659
105,0.316357037,0.165601823,0.587448733,4.466275007
107,0.304147731,0.160876207,0.586729215,4.506455683
108,0.045688585,3.833424548,0.677631418,1.112200202
109,0.194600804,3.600044891,0.085477248,4.444506945
110,0.082727339,0.557656738,0.458384234,4.813536337
111,0.013428995,0.889339099,0.95395007,3.370698731
112,0.720768677,1.691696636,0.330475656,5.304173445
114,0.054914012,0.379989932,0.542764305,5.086095018
115,0.559263081,1.049482759,0.353908701,4.772096146
116,0.090572178,2.377464641,0.83452225,4.807874779
201,0.096453475,2.397429515,0.835324724,4.814613151
202,0.40017835,0.25092451,0.548313685,4.483265972
203,0.02405843,1.125750507,0.925848985,3.475031068
204,0.608236546,0.104819868,0.620665279,5.250228916
205,0.051631294,2.417144995,0.306509843,1.680855946
206,0.492654905,0.329584261,0.517624855,4.707251294
207,0.026975528,0.245731689,0.641146374,3.938391066
208,0.059088029,0.352552735,0.649666152,4.688022188
209,0.091522922,1.474304829,0.747646902,4.139778505
210,0.016583479,0.448259088,0.882508169,5.917929556
211,1.340346129,0.739245149,0.532424677,5.693080814
219,0.005871164,0.257359461,0.941011842,3.862006305
212,0.086168206,2.369869842,0.834544306,4.820170417
213,0.075428483,0.818718264,0.259447728,3.868945599
214,0.042270222,0.794989205,0.821285922,4.386715803
216,0.030798418,0.378375525,0.776278002,4.978500747
